"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.447475370E-1,1.435693540E-2,3.828516230E-2,9.798608780E0,9.798694091E0
2.469682390E-1,9.571290575E-3,4.785645381E-2,9.779465675E0,9.779587453E0
2.491610090E-1,4.785645287E-3,3.828516230E-2,9.784252167E0,9.784328241E0
2.513638390E-1,0.000000000E0,4.785645381E-2,9.789037704E0,9.789154684E0
2.535539840E-1,-1.435693540E-2,4.785645381E-2,9.789037704E0,9.789165212E0
2.557499670E-1,4.785645287E-3,5.264209956E-2,9.798608780E0,9.798751355E0
2.579463170E-1,1.435693540E-2,4.785645381E-2,9.803394318E0,9.803521638E0
2.601356080E-1,-9.571290575E-3,5.264209956E-2,9.793823242E0,9.793969394E0
2.623125890E-1,-1.435693540E-2,3.888336942E-2,9.798608780E0,9.798696447E0
2.645353580E-1,-4.785645287E-3,4.307080805E-2,9.789037704E0,9.789133627E0
2.667305990E-1,9.571290575E-3,3.349951655E-2,9.789037704E0,9.789099704E0
2.689316290E-1,4.785645287E-3,5.264209956E-2,9.789037704E0,9.789180419E0
2.711203380E-1,-1.435693540E-2,4.307080805E-2,9.789037704E0,9.789142986E0
2.733192420E-1,-9.571290575E-3,4.785645381E-2,9.774680138E0,9.774801975E0
2.755228250E-1,0.000000000E0,3.828516230E-2,9.769894600E0,9.769969613E0
2.777089120E-1,-4.785645287E-3,5.264209956E-2,9.784252167E0,9.784394951E0
2.799053430E-1,0.000000000E0,5.264209956E-2,9.789037704E0,9.789179249E0
2.820994850E-1,1.435693540E-2,4.307080805E-2,9.789037704E0,9.789142986E0
2.842977580E-1,-4.785645287E-3,4.366901144E-2,9.803394318E0,9.803492747E0
2.864923790E-1,-4.785645287E-3,3.828516230E-2,9.793823242E0,9.793899242E0
2.886885460E-1,-9.571290575E-3,3.888336942E-2,9.798608780E0,9.798690604E0
2.908836750E-1,4.785645287E-3,5.264209956E-2,9.784252167E0,9.784394951E0
2.930800760E-1,4.785645287E-3,5.742774159E-2,9.784252167E0,9.784421869E0
2.952705070E-1,-9.571290575E-3,5.802594870E-2,9.798608780E0,9.798785264E0
2.974524410E-1,1.435693540E-2,4.307080805E-2,9.774680138E0,9.774785574E0
2.996701340E-1,0.000000000E0,4.307080805E-2,9.784252167E0,9.784346966E0
3.018638490E-1,-9.571290575E-3,4.785645381E-2,9.765109062E0,9.765231019E0
3.040617050E-1,-9.571290575E-3,5.264209956E-2,9.784252167E0,9.784398462E0
3.062548200E-1,4.785645287E-3,4.307080805E-2,9.798608780E0,9.798704609E0
3.084443950E-1,-4.785645287E-3,3.349951655E-2,9.793823242E0,9.793881703E0
3.106223140E-1,-9.571290575E-3,4.307080805E-2,9.789037704E0,9.789137137E0
3.128440750E-1,1.435693540E-2,5.264209956E-2,9.798608780E0,9.798760704E0
3.150391930E-1,9.571290575E-3,5.264209956E-2,9.784252167E0,9.784398462E0
3.172424300E-1,-9.571290575E-3,2.931207791E-2,9.798608780E0,9.798657297E0
3.194313640E-1,-4.785645287E-3,3.828516230E-2,9.798608780E0,9.798684742E0
3.216262600E-1,0.000000000E0,4.785645381E-2,9.798608780E0,9.798725645E0
3.238219590E-1,-4.785645287E-3,5.264209956E-2,9.793823242E0,9.793965887E0
3.260178620E-1,4.785645287E-3,3.828516230E-2,9.784252167E0,9.784328241E0
3.282078240E-1,-4.785645287E-3,3.828516230E-2,9.798608780E0,9.798684742E0
3.303850700E-1,-4.785645287E-3,3.828516230E-2,9.798608780E0,9.798684742E0
3.326063420E-1,0.000000000E0,3.828516230E-2,9.789037704E0,9.789112571E0
3.348031400E-1,1.435693540E-2,4.307080805E-2,9.793823242E0,9.793928472E0
3.370062950E-1,0.000000000E0,3.828516230E-2,9.779465675E0,9.779540615E0
3.391938260E-1,4.785645287E-3,4.785645381E-2,9.779465675E0,9.779583940E0
3.413872360E-1,0.000000000E0,4.785645381E-2,9.793823242E0,9.793940164E0
3.435756320E-1,-4.785645287E-3,4.785645381E-2,9.760323524E0,9.760442021E0
3.457810350E-1,0.000000000E0,4.785645381E-2,9.784252167E0,9.784369203E0
3.479769170E-1,-9.571290575E-3,4.307080805E-2,9.784252167E0,9.784351648E0
3.501757290E-1,-9.571290575E-3,3.828516230E-2,9.793823242E0,9.793902749E0
3.523640840E-1,-9.571290575E-3,4.307080805E-2,9.789037704E0,9.789137137E0
3.545344950E-1,-9.571290575E-3,4.785645381E-2,9.798608780E0,9.798730319E0
3.567359610E-1,9.571290575E-3,4.785645381E-2,9.798608780E0,9.798730319E0
3.589569280E-1,4.785645287E-3,4.366901144E-2,9.817750931E0,9.817849216E0
3.611627900E-1,-4.785645287E-3,4.307080805E-2,9.784252167E0,9.784348137E0
3.633728530E-1,4.785645287E-3,4.785645381E-2,9.784252167E0,9.784370373E0
3.655442090E-1,0.000000000E0,4.307080805E-2,9.765109062E0,9.765204048E0
3.677381380E-1,4.785645287E-3,3.828516230E-2,9.779465675E0,9.779541786E0
3.699238070E-1,-4.785645287E-3,5.742774159E-2,9.774680138E0,9.774850006E0
3.721265450E-1,0.000000000E0,4.785645381E-2,9.784252167E0,9.784369203E0
3.742962530E-1,4.785645287E-3,5.742774159E-2,9.779465675E0,9.779635461E0
3.764944040E-1,9.571290575E-3,6.221338734E-2,9.793823242E0,9.794025516E0
3.786893610E-1,0.000000000E0,4.845465720E-2,9.808179855E0,9.808299543E0
3.809006440E-1,0.000000000E0,5.742774159E-2,9.798608780E0,9.798777065E0
3.831179700E-1,0.000000000E0,3.828516230E-2,9.779465675E0,9.779540615E0
3.853135260E-1,0.000000000E0,5.264209956E-2,9.793823242E0,9.793964718E0
3.875101410E-1,0.000000000E0,4.785645381E-2,9.793823242E0,9.793940164E0
3.897002260E-1,4.785645287E-3,4.785645381E-2,9.789037704E0,9.789155853E0
3.918948150E-1,-1.435693540E-2,4.307080805E-2,9.779465675E0,9.779571060E0
3.940845220E-1,-4.785645287E-3,4.307080805E-2,9.779465675E0,9.779561692E0
3.962617380E-1,4.785645287E-3,4.785645381E-2,9.784252167E0,9.784370373E0
3.984823000E-1,-4.785645287E-3,4.307080805E-2,9.789037704E0,9.789133627E0
4.006782110E-1,4.785645287E-3,2.871387079E-2,9.798608780E0,9.798652020E0
4.028809700E-1,0.000000000E0,4.307080805E-2,9.789037704E0,9.789132458E0
4.050715330E-1,1.435693540E-2,4.307080805E-2,9.793823242E0,9.793928472E0
4.072674150E-1,0.000000000E0,3.828516230E-2,9.779465675E0,9.779540615E0
4.094615980E-1,-9.571290575E-3,3.888336942E-2,9.798608780E0,9.798690604E0
4.116575620E-1,0.000000000E0,3.888336942E-2,9.803394318E0,9.803471429E0
4.138532910E-1,0.000000000E0,3.349951655E-2,9.789037704E0,9.789095024E0
4.160495600E-1,0.000000000E0,4.307080805E-2,9.789037704E0,9.789132458E0
4.182459500E-1,-9.571290575E-3,4.785645381E-2,9.774680138E0,9.774801975E0
4.204414560E-1,-4.785645287E-3,4.307080805E-2,9.789037704E0,9.789133627E0
4.226385590E-1,-4.785645287E-3,4.785645381E-2,9.784252167E0,9.784370373E0
4.248343190E-1,-4.785645287E-3,4.845465720E-2,9.803394318E0,9.803515232E0
4.270240070E-1,4.785645287E-3,3.888336942E-2,9.803394318E0,9.803472597E0
4.292083030E-1,0.000000000E0,3.828516230E-2,9.789037704E0,9.789112571E0
4.314411820E-1,9.571290575E-3,5.264209956E-2,9.793823242E0,9.793969394E0
4.336168510E-1,0.000000000E0,5.264209956E-2,9.793823242E0,9.793964718E0
4.358178400E-1,0.000000000E0,5.264209956E-2,9.779465675E0,9.779607358E0
4.380038650E-1,0.000000000E0,4.785645381E-2,9.789037704E0,9.789154684E0
4.402060240E-1,-1.914258115E-2,4.785645381E-2,9.784252167E0,9.784387929E0
4.423959440E-1,0.000000000E0,5.264209956E-2,9.784252167E0,9.784393781E0
4.445911360E-1,1.435693540E-2,4.307080805E-2,9.789037704E0,9.789142986E0
4.467923180E-1,4.785645287E-3,4.785645381E-2,9.784252167E0,9.784370373E0
4.489883320E-1,1.435693540E-2,5.264209956E-2,9.789037704E0,9.789189777E0
4.511844680E-1,1.435693540E-2,4.307080805E-2,9.789037704E0,9.789142986E0
4.533792420E-1,-9.571290575E-3,4.785645381E-2,9.784252167E0,9.784373885E0
4.555758870E-1,-4.785645287E-3,4.785645381E-2,9.774680138E0,9.774798460E0
4.577730620E-1,9.571290575E-3,4.785645381E-2,9.779465675E0,9.779587453E0
4.599684540E-1,-1.435693540E-2,3.828516230E-2,9.769894600E0,9.769980162E0
4.621577550E-1,-1.435693540E-2,3.349951655E-2,9.774680138E0,9.774748085E0
4.643347980E-1,4.785645287E-3,4.785645381E-2,9.789037704E0,9.789155853E0
4.665591120E-1,-9.571290575E-3,4.366901144E-2,9.803394318E0,9.803496251E0
4.687678720E-1,9.571290575E-3,4.307080805E-2,9.803394318E0,9.803493604E0
4.709521280E-1,0.000000000E0,4.785645381E-2,9.793823242E0,9.793940164E0
4.731448670E-1,0.000000000E0,5.324030295E-2,9.803394318E0,9.803538885E0
