"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.132355490E-1,1.460160160E1,4.013959885E0,1.107996559E1,1.876390899E1
2.154372390E-1,1.521356678E1,3.873979807E0,1.106620693E1,1.920732333E1
2.176342300E-1,1.590628815E1,3.724428415E0,1.105723381E1,1.972672779E1
2.198302850E-1,1.668934059E1,3.617349625E0,1.102552891E1,2.032686880E1
2.220249270E-1,1.752563095E1,3.563511133E0,1.105125141E1,2.102323737E1
2.242198530E-1,1.837627983E1,3.580859184E0,1.108175945E1,2.175581774E1
2.264141790E-1,1.917428589E1,3.632902861E0,1.123071289E1,2.251621937E1
2.286128270E-1,1.992922211E1,3.714258909E0,1.147537899E1,2.329493370E1
2.308023010E-1,2.059801483E1,3.814757586E0,1.173858929E1,2.401301874E1
2.329803200E-1,2.123331070E1,3.996612072E0,1.199163055E1,2.471083962E1
2.352026620E-1,2.188356018E1,4.311866283E0,1.219143105E1,2.541876055E1
2.373923070E-1,2.249612236E1,4.713262558E0,1.232363510E1,2.607992230E1
2.395750470E-1,2.311765862E1,5.185844898E0,1.246002579E1,2.676885074E1
2.417888840E-1,2.376312256E1,5.716453075E0,1.260598755E1,2.750045003E1
2.439850710E-1,2.439004135E1,6.261418819E0,1.279561901E1,2.824548369E1
2.461876660E-1,2.494038963E1,6.850052834E0,1.306959724E1,2.897862369E1
2.483772520E-1,2.544228554E1,7.467401028E0,1.337228966E1,2.969663453E1
2.505741320E-1,2.587299347E1,8.209774017E0,1.375992680E1,3.043267596E1
2.527727500E-1,2.621337128E1,9.048459053E0,1.418525124E1,3.114862433E1
2.549672990E-1,2.640001297E1,9.815957069E0,1.471885014E1,3.177984027E1
2.571590510E-1,2.647239494E1,1.054516983E1,1.518066502E1,3.228685322E1
2.593458600E-1,2.641556549E1,1.114457130E1,1.556052589E1,3.262075315E1
2.615530530E-1,2.628695107E1,1.174935722E1,1.591107464E1,3.289701335E1
2.637498110E-1,2.601058006E1,1.226321602E1,1.622752571E1,3.301922672E1
2.659483990E-1,2.556192589E1,1.278664589E1,1.649911118E1,3.300198536E1
