"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.842253610E-1,8.779266357E0,-4.847858906E0,-9.547362328E-1,1.007416374E1
2.864154650E-1,8.879764557E0,-4.905286312E0,-9.774680734E-1,1.019154042E1
2.886112040E-1,8.994620323E0,-4.948955536E0,-1.034297585E0,1.031819399E1
2.908077780E-1,9.161520004E0,-5.006382942E0,-1.056431174E0,1.049349159E1
2.930042410E-1,9.372088432E0,-5.088337421E0,-1.030708313E0,1.071398987E1
2.952009050E-1,9.586843491E0,-5.183452129E0,-9.134600163E-1,1.093664269E1
2.973906940E-1,9.806385040E0,-5.264808178E0,-8.111668825E-1,1.115981113E1
2.995707280E-1,9.987641335E0,-5.355735302E0,-7.519445419E-1,1.135791797E1
3.017887360E-1,1.021196842E1,-5.461019516E0,-6.448656917E-1,1.159840010E1
3.039791440E-1,1.042672443E1,-5.565705299E0,-5.467599630E-1,1.183184704E1
3.061632470E-1,1.064148045E1,-5.704489231E0,-4.636093974E-1,1.208293165E1
3.083706040E-1,1.085145092E1,-5.847460270E0,-3.415754437E-1,1.233140107E1
3.105422860E-1,1.105663490E1,-5.986244202E0,-2.386840582E-1,1.257542306E1
3.127527350E-1,1.124267673E1,-6.124429703E0,-1.076770201E-1,1.280304705E1
3.149656460E-1,1.144726372E1,-6.306283951E0,1.435693540E-2,1.306940205E1
3.171690770E-1,1.160937691E1,-6.473183632E0,1.166501045E-1,1.329260493E1
3.193631980E-1,1.177149105E1,-6.625725746E0,2.428714931E-1,1.351026387E1
3.215541970E-1,1.193839073E1,-6.793223381E0,3.403790295E-1,1.374004785E1
3.237497950E-1,1.208614731E1,-6.975078106E0,3.900300860E-1,1.395989953E1
3.259402450E-1,1.224826050E1,-7.151548862E0,4.689932466E-1,1.419100035E1
3.281181010E-1,1.239661598E1,-7.338188648E0,4.803591371E-1,1.441373808E1
3.303412460E-1,1.252044487E1,-7.529614449E0,4.821537733E-1,1.461810883E1
3.325164680E-1,1.261555958E1,-7.749754429E0,4.929214716E-1,1.481398018E1
3.347394200E-1,1.267717457E1,-7.978269100E0,7.674978375E-1,1.499841944E1
3.369400720E-1,1.256052399E1,-8.243273735E0,2.193620205E0,1.518322411E1
3.391294750E-1,1.226620674E1,-8.524430275E0,4.019941807E0,1.546886135E1
3.413181550E-1,1.205504036E1,-8.659027100E0,4.727021217E0,1.557714601E1
3.435066610E-1,1.216152096E1,-8.694919586E0,3.474378586E0,1.534846980E1
3.456864610E-1,1.248335552E1,-8.746364594E0,1.912463546E0,1.536198475E1
3.479087210E-1,1.289551926E1,-8.818149567E0,1.112064362E0,1.566176445E1
3.501049080E-1,1.321555901E1,-8.877371788E0,9.284151793E-1,1.594743504E1
3.523081750E-1,1.342074394E1,-8.953344345E0,1.107278705E0,1.617111032E1
3.544960930E-1,1.351585865E1,-9.047860146E0,1.319043517E0,1.631815198E1
3.566926770E-1,1.352542973E1,-9.171689034E0,1.463211060E0,1.640725802E1
3.588883460E-1,1.352004623E1,-9.343972206E0,1.415952802E0,1.649564758E1
3.610846540E-1,1.353440285E1,-9.522237778E0,1.229910851E0,1.659414817E1
3.632744220E-1,1.359661674E1,-9.700503349E0,9.391828775E-1,1.672871234E1
3.654526050E-1,1.372104359E1,-9.893125534E0,7.639086246E-1,1.693294205E1
3.676735720E-1,1.382572937E1,-1.009890842E1,7.130611539E-1,1.713613726E1
3.698637990E-1,1.395912933E1,-1.030947590E1,7.722834945E-1,1.737063634E1
3.720456830E-1,1.409252930E1,-1.052901745E1,8.847461939E-1,1.761369826E1
3.742618490E-1,1.424507141E1,-1.073420238E1,9.870393276E-1,1.786391354E1
3.764514040E-1,1.441197109E1,-1.095434189E1,1.065404296E0,1.813387998E1
3.786351610E-1,1.460279846E1,-1.113141060E1,1.149153113E0,1.839756989E1
3.808502590E-1,1.477926922E1,-1.134676456E1,1.175474167E0,1.866969749E1
3.830407600E-1,1.496471310E1,-1.155194950E1,1.259222865E0,1.894665716E1
3.852232850E-1,1.512682629E1,-1.175294685E1,1.313659668E0,1.920099828E1
3.874395740E-1,1.529372597E1,-1.195872974E1,1.373480201E0,1.946267502E1
3.896349070E-1,1.544208050E1,-1.210708427E1,1.432702541E0,1.967465314E1
3.918380720E-1,1.557069492E1,-1.225484085E1,1.462612867E0,1.986874181E1
